time,lat_deg,lon_deg,speed_kmh,원효대교,숙명여대,travelTime,speed,state,etLtsgStatNm,etStsgStatNm
152807,37.5361143,126.972733,33.966,0.0,12.0,,,GO,stop-And-Remain,stop-And-Remain
152808,37.5361455,126.97263200000002,34.783,0.0,12.0,,,GO,stop-And-Remain,stop-And-Remain
152809,37.5361772,126.97253,34.898,0.0,12.0,,,GO,stop-And-Remain,stop-And-Remain
152810,37.5362082,126.9724278,35.05,1.0,13.0,,,GO,stop-And-Remain,stop-And-Remain
152811,37.5362405,126.9723227,36.238,0.0,12.0,,,GO,stop-And-Remain,stop-And-Remain
152812,37.5362732,126.9722137,37.138,0.0,13.0,,,GO,stop-And-Remain,stop-And-Remain
152813,37.5363073,126.9721028,38.041,1.0,12.0,,,STOP,stop-And-Remain,stop-And-Remain
152814,37.5363417,126.9719913,38.045,0.0,13.0,,,STOP,stop-And-Remain,stop-And-Remain
152815,37.5363767,126.9718808,37.897,0.0,13.0,,,STOP,stop-And-Remain,stop-And-Remain
152816,37.5364112,126.97177,37.771,0.0,14.0,,,STOP,stop-And-Remain,stop-And-Remain
152817,37.536445,126.9716603,37.058,0.0,13.0,,,STOP,stop-And-Remain,stop-And-Remain
152818,37.5364785,126.9715522,36.691,0.0,13.0,,,STOP,stop-And-Remain,stop-And-Remain
152819,37.5365123,126.9714442,36.994,0.0,14.0,,,STOP,stop-And-Remain,stop-And-Remain
152820,37.5365468,126.971334,37.922,0.0,12.0,,,STOP,stop-And-Remain,stop-And-Remain
152821,37.5365827,126.9712195,39.625,0.0,15.0,,,STOP,stop-And-Remain,stop-And-Remain
152822,37.5366198,126.97110000000002,41.371,0.0,16.0,,,STOP,stop-And-Remain,stop-And-Remain
152823,37.5366583,126.9709775,42.563,1.0,13.0,,,STOP,stop-And-Remain,stop-And-Remain
152824,37.5366963,126.970851,43.106,1.0,16.0,,,STOP,stop-And-Remain,stop-And-Remain
152825,37.5367332,126.970723,43.333,1.0,13.0,,,STOP,stop-And-Remain,stop-And-Remain
152826,37.5367698,126.9705945,43.139,2.0,15.0,,,STOP,stop-And-Remain,stop-And-Remain
152827,37.5368075,126.9704673,42.898,2.0,14.0,,,STOP,stop-And-Remain,stop-And-Remain
152828,37.536845,126.9703453,41.267,1.0,12.0,,,STOP,stop-And-Remain,stop-And-Remain
152829,37.5368817,126.9702255,40.781,2.0,12.0,,,STOP,stop-And-Remain,stop-And-Remain
152830,37.5369185,126.9701045,41.404,2.0,12.0,,,STOP,stop-And-Remain,stop-And-Remain
152831,37.5369565,126.9699823,42.019,,,,,,stop-And-Remain,stop-And-Remain
152832,37.5369955,126.9698573,43.196,2.0,11.0,,,STOP,stop-And-Remain,stop-And-Remain
152833,37.5370345,126.9697308,43.351,2.0,9.0,,,STOP,stop-And-Remain,stop-And-Remain
152834,37.5370732,126.9696045,43.121,1.0,9.0,,,STOP,stop-And-Remain,stop-And-Remain
152835,37.5371125,126.9694772,43.808,1.0,11.0,,,STOP,stop-And-Remain,stop-And-Remain
152836,37.5371515,126.96934930000002,43.646,1.0,10.0,,,STOP,stop-And-Remain,stop-And-Remain
152837,37.5371902,126.9692232,42.901,0.0,8.0,,,GO,stop-And-Remain,stop-And-Remain
152838,37.5372263,126.9691022,40.842,0.0,9.0,,,GO,stop-And-Remain,stop-And-Remain
152839,37.5372602,126.9689865,39.06,0.0,11.0,,,GO,stop-And-Remain,stop-And-Remain
152840,37.5372952,126.9688712,39.683,0.0,8.0,,,STOP,stop-And-Remain,stop-And-Remain
152841,37.5373315,126.96875570000002,39.773,0.0,8.0,,,STOP,stop-And-Remain,stop-And-Remain
152842,37.5373673,126.9686397,39.751,0.0,6.0,,,STOP,stop-And-Remain,stop-And-Remain
152843,37.5374018,126.9685282,37.483,1.0,7.0,,,STOP,stop-And-Remain,stop-And-Remain
152844,37.5374358,126.968421,36.641,1.0,6.0,,,STOP,stop-And-Remain,stop-And-Remain
152845,37.5374682,126.9683153,35.762,1.0,6.0,,,STOP,stop-And-Remain,stop-And-Remain
152846,37.5374993,126.968211,35.248,1.0,7.0,,,STOP,stop-And-Remain,stop-And-Remain
152847,37.5375303,126.9681082,35.114,2.0,7.0,,,STOP,stop-And-Remain,stop-And-Remain
152848,37.5375582,126.9680092,33.026,1.0,9.0,,,STOP,stop-And-Remain,stop-And-Remain
152849,37.5375853,126.9679188,30.017,2.0,7.0,,,GO,stop-And-Remain,stop-And-Remain
152850,37.5376117,126.9678338,28.714,1.0,9.0,,,STOP,stop-And-Remain,stop-And-Remain
152851,37.537637,126.9677533,26.838,,,,,,stop-And-Remain,stop-And-Remain
152852,37.5376618,126.9676787,24.941,1.0,10.0,,,STOP,stop-And-Remain,stop-And-Remain
152853,37.5376863,126.9676073,24.289,1.0,8.0,,,STOP,stop-And-Remain,stop-And-Remain
152854,37.5377112,126.967541,22.77,2.0,7.0,,,STOP,stop-And-Remain,stop-And-Remain
152855,37.537737,126.96747980000002,21.355,2.0,8.0,,,STOP,stop-And-Remain,stop-And-Remain
152856,37.5377625,126.9674173,22.237,3.0,7.0,,,STOP,stop-And-Remain,stop-And-Remain
152857,37.5377897,126.9673535,23.155,2.0,7.0,,,STOP,stop-And-Remain,stop-And-Remain
152858,37.5378185,126.9672982,20.279,2.0,8.0,,,STOP,stop-And-Remain,stop-And-Remain
152859,37.5378395,126.96725150000002,15.912,3.0,10.0,,,GO,protected-Movement-Allowed,protected-Movement-Allowed
