time,lat_deg,lon_deg,speed_kmh,원효대교,숙명여대,travelTime,speed,state,neLtsgStatNm,neStsgStatNm
171700,37.5398243,126.9684825,29.624,17.0,5.0,49.48,25.0,,,
171701,37.5397628,126.9684158,33.203,17.0,4.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171702,37.5396953,126.9683405,36.778,14.0,6.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171703,37.5396222,126.9682565,40.403,,,49.48,25.0,,stop-And-Remain,stop-And-Remain
171704,37.5395437,126.9681647,43.614,14.0,5.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171705,37.5394628,126.9680695,44.46,13.0,5.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171706,37.5393832,126.9679735,43.952,16.0,4.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171707,37.5393045,126.9678788,43.286,14.0,3.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171708,37.5392272,126.9677853,42.602,11.0,4.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171709,37.5391512,126.9676933,42.012,14.0,3.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171710,37.5390755,126.9676032,41.53,15.0,2.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171711,37.538999,126.967517,40.846,15.0,3.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171712,37.5389217,126.967437,39.719,13.0,3.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171713,37.5388447,126.9673613,38.851,15.0,1.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171714,37.5387742,126.96729,35.312,13.0,1.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171715,37.538716,126.9672275,29.347,13.0,2.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171716,37.5386653,126.9671702,26.402,14.0,3.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171717,37.5386167,126.9671163,25.531,12.0,0.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171718,37.5385688,126.9670605,26.082,11.0,0.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171719,37.5385218,126.9670023,26.262,11.0,0.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171720,37.5384777,126.9669475,24.163,11.0,1.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171721,37.5384378,126.9668982,21.474,11.0,0.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171722,37.538403,126.966856,18.356,11.0,2.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171723,37.5383727,126.9668212,15.552,11.0,2.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171724,37.538348,126.9667932,12.146,10.0,2.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171725,37.5383265,126.9667693,10.865,9.0,2.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171726,37.5383125,126.966753,6.278,9.0,2.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
171727,37.5383043,126.9667428,3.78,9.0,1.0,49.48,25.0,,stop-And-Remain,stop-And-Remain
