time,lat_deg,lon_deg,speed_kmh,원효대교,숙명여대,travelTime,speed,state,neLtsgStatNm,neStsgStatNm
171237,37.5398022,126.9684777,38.776,4.0,6.0,52.6975,23.57,,stop-And-Remain,stop-And-Remain
171238,37.5397157,126.9683897,46.195,4.0,5.0,52.675,23.58,,stop-And-Remain,stop-And-Remain
171239,37.5396202,126.9682842,52.175,3.0,4.0,52.6525,23.59,,stop-And-Remain,stop-And-Remain
171240,37.5395202,126.9681665,55.526,4.0,4.0,52.63,23.6,,stop-And-Remain,stop-And-Remain
171241,37.539417,126.9680437,57.197,3.0,4.0,52.6075,23.61,,stop-And-Remain,stop-And-Remain
171242,37.5393138,126.9679215,56.538,2.0,3.0,52.585,23.62,,stop-And-Remain,stop-And-Remain
171243,37.5392152,126.9678037,53.723,4.0,4.0,52.5625,23.63,,stop-And-Remain,stop-And-Remain
171244,37.5391218,126.9676912,51.167,3.0,5.0,52.54,23.64,,stop-And-Remain,stop-And-Remain
171245,37.539034,126.967585,48.251,3.0,7.0,52.5175,23.65,,stop-And-Remain,stop-And-Remain
171246,37.5389503,126.967493,43.387,2.0,4.0,52.495,23.66,,stop-And-Remain,stop-And-Remain
171247,37.5388737,126.9674143,38.588,4.0,5.0,52.4725,23.67,,stop-And-Remain,stop-And-Remain
171248,37.538805,126.9673458,34.301,4.0,5.0,52.45,23.68,,stop-And-Remain,stop-And-Remain
171249,37.5387467,126.9672842,29.707,3.0,4.0,52.4275,23.69,,stop-And-Remain,stop-And-Remain
171250,37.5387013,126.9672333,22.936,3.0,3.0,52.405,23.7,,stop-And-Remain,stop-And-Remain
171251,37.5386697,126.9671958,15.901,3.0,3.0,52.3825,23.71,,stop-And-Remain,stop-And-Remain
171252,37.538648,126.9671708,10.688,3.0,3.0,52.36,23.72,,stop-And-Remain,stop-And-Remain
171253,37.538633,126.9671525,7.636,3.0,3.0,52.3375,23.73,,stop-And-Remain,stop-And-Remain
171254,37.5386247,126.9671418,3.769,3.0,3.0,52.315,23.74,,stop-And-Remain,stop-And-Remain
171255,37.5386223,126.9671388,0.41,4.0,3.0,52.2925,23.75,,stop-And-Remain,stop-And-Remain
171256,37.5386205,126.9671398,0.068,4.0,1.0,52.27,23.76,,stop-And-Remain,stop-And-Remain
171257,37.538619,126.9671408,0.029,4.0,1.0,52.2475,23.77,,stop-And-Remain,stop-And-Remain
171258,37.5386177,126.9671417,0.068,3.0,1.0,52.225,23.78,,stop-And-Remain,stop-And-Remain
171259,37.5386165,126.9671425,0.029,3.0,1.0,52.2025,23.79,,stop-And-Remain,stop-And-Remain
171300,37.538615,126.9671435,0.022,4.0,1.0,52.18,23.8,,stop-And-Remain,stop-And-Remain
171301,37.5386142,126.9671435,0.094,4.0,4.0,52.1575,23.81,,stop-And-Remain,stop-And-Remain
171302,37.5386132,126.9671437,0.061,5.0,3.0,52.135,23.82,,stop-And-Remain,stop-And-Remain
171303,37.5386115,126.9671445,0.018,6.0,4.0,52.1125,23.83,,stop-And-Remain,stop-And-Remain
171304,37.5386098,126.9671452,0.068,6.0,5.0,52.09,23.84,,stop-And-Remain,stop-And-Remain
171305,37.5386082,126.967146,0.032,5.0,6.0,52.0675,23.85,,protected-Movement-Allowed,protected-Movement-Allowed
171306,37.5386072,126.9671463,0.068,5.0,6.0,52.045,23.86,,protected-Movement-Allowed,protected-Movement-Allowed
171307,37.5386057,126.9671472,0.04,5.0,5.0,52.0225,23.87,,protected-Movement-Allowed,protected-Movement-Allowed
171308,37.5386043,126.9671482,0.018,4.0,6.0,52.0,23.88,,protected-Movement-Allowed,protected-Movement-Allowed
171309,37.538603,126.967149,0.054,6.0,6.0,51.9775,23.89,,protected-Movement-Allowed,protected-Movement-Allowed
171310,37.5386017,126.9671502,0.065,6.0,6.0,51.955,23.9,,protected-Movement-Allowed,protected-Movement-Allowed
171311,37.5386005,126.9671512,0.025,,,51.9325,23.91,,protected-Movement-Allowed,protected-Movement-Allowed
171312,37.5385992,126.967152,0.022,,,51.91,23.92,,protected-Movement-Allowed,protected-Movement-Allowed
171313,37.5385982,126.967153,0.036,6.0,7.0,51.8875,23.93,,protected-Movement-Allowed,protected-Movement-Allowed
171314,37.5385972,126.9671538,0.032,6.0,7.0,51.865,23.94,,protected-Movement-Allowed,protected-Movement-Allowed
171315,37.5385962,126.9671547,0.018,7.0,8.0,51.8425,23.95,,protected-Movement-Allowed,protected-Movement-Allowed
171316,37.538595,126.9671555,0.018,7.0,8.0,51.82,23.96,,protected-Movement-Allowed,protected-Movement-Allowed
171317,37.5385938,126.9671565,0.025,8.0,7.0,51.7975,23.97,,protected-Movement-Allowed,protected-Movement-Allowed
171318,37.5385863,126.9671513,4.266,6.0,8.0,51.775,23.98,,protected-Movement-Allowed,protected-Movement-Allowed
171319,37.5385692,126.967133,10.498,6.0,10.0,51.7525,23.99,,protected-Movement-Allowed,protected-Movement-Allowed
171320,37.5385412,126.9671007,16.79,7.0,9.0,51.73,24.0,,protected-Movement-Allowed,protected-Movement-Allowed
171321,37.5385065,126.9670622,18.821,5.0,11.0,51.7075,24.01,,protected-Movement-Allowed,protected-Movement-Allowed
171322,37.5384725,126.967023,18.209,6.0,9.0,51.685,24.02,,protected-Movement-Allowed,protected-Movement-Allowed
171323,37.5384402,126.9669827,18.094,6.0,12.0,51.6625,24.03,,protected-Movement-Allowed,protected-Movement-Allowed
171324,37.5384055,126.9669387,20.318,7.0,10.0,51.64,24.04,,protected-Movement-Allowed,protected-Movement-Allowed
171325,37.5383658,126.9668892,23.213,7.0,10.0,51.6175,24.05,,protected-Movement-Allowed,protected-Movement-Allowed
171326,37.5383213,126.966833,25.92,6.0,12.0,51.595,24.06,,protected-Movement-Allowed,protected-Movement-Allowed
171327,37.5382745,126.9667742,26.791,8.0,12.0,51.5725,24.07,,protected-Movement-Allowed,protected-Movement-Allowed
171328,37.5382252,126.9667127,28.307,7.0,12.0,51.55,24.08,,protected-Movement-Allowed,protected-Movement-Allowed
171329,37.5381755,126.9666512,27.839,7.0,10.0,51.5275,24.09,,protected-Movement-Allowed,protected-Movement-Allowed
171330,37.5381252,126.9665953,26.568,7.0,11.0,51.505,24.1,,protected-Movement-Allowed,protected-Movement-Allowed
171331,37.5380747,126.966555,23.177,7.0,11.0,51.4825,24.11,,protected-Movement-Allowed,protected-Movement-Allowed
171332,37.5380238,126.9665348,21.103,7.0,9.0,51.46,24.12,,protected-Movement-Allowed,protected-Movement-Allowed
