time,lat_deg,lon_deg,speed_kmh,원효대교,숙명여대,travelTime,speed,state,neLtsgStatNm,neStsgStatNm
164002,37.539475,126.9681543,25.308,14.0,3.0,82.36833333333333,15.02,,stop-And-Remain,stop-And-Remain
164003,37.5394277,126.9680935,27.022,11.0,4.0,82.32249999999999,15.03,,stop-And-Remain,stop-And-Remain
164004,37.5393777,126.9680317,28.109,13.0,4.0,82.27666666666666,15.04,,stop-And-Remain,stop-And-Remain
164005,37.5393277,126.96797,27.943,12.0,5.0,82.23083333333332,15.05,,stop-And-Remain,stop-And-Remain
164006,37.5392775,126.967907,28.379,11.0,3.0,82.18499999999999,15.06,,stop-And-Remain,stop-And-Remain
164007,37.5392275,126.9678448,28.026,12.0,4.0,82.13916666666665,15.07,,stop-And-Remain,stop-And-Remain
164008,37.5391813,126.967788,25.546,10.0,4.0,82.09333333333333,15.08,,stop-And-Remain,stop-And-Remain
164009,37.5391422,126.9677393,21.643,10.0,4.0,82.0475,15.09,,stop-And-Remain,stop-And-Remain
164010,37.539108,126.9676968,19.098,8.0,4.0,82.00166666666667,15.1,,stop-And-Remain,stop-And-Remain
164011,37.5390763,126.9676595,17.093,11.0,5.0,81.95583333333333,15.11,,stop-And-Remain,stop-And-Remain
164012,37.5390497,126.9676282,14.576,12.0,3.0,81.91,15.12,,stop-And-Remain,stop-And-Remain
164013,37.5390292,126.967603,11.516,10.0,2.0,81.86416666666666,15.13,,stop-And-Remain,stop-And-Remain
164014,37.5390117,126.967579,10.382,13.0,2.0,81.81833333333333,15.14,,stop-And-Remain,stop-And-Remain
164015,37.5389908,126.967554,11.779,12.0,5.0,81.7725,15.15,,stop-And-Remain,stop-And-Remain
164016,37.5389683,126.967528,12.337,12.0,4.0,81.72666666666666,15.16,,stop-And-Remain,stop-And-Remain
164017,37.5389465,126.9675048,11.372,12.0,6.0,81.68083333333333,15.17,,stop-And-Remain,stop-And-Remain
164018,37.5389253,126.9674853,10.379,11.0,2.0,81.63499999999999,15.18,,stop-And-Remain,stop-And-Remain
164019,37.5389068,126.9674698,8.694,12.0,5.0,81.58916666666666,15.19,,stop-And-Remain,stop-And-Remain
164020,37.5388918,126.9674565,7.009,11.0,3.0,81.54333333333332,15.2,,stop-And-Remain,stop-And-Remain
164021,37.5388768,126.9674445,7.272,11.0,5.0,81.49749999999999,15.21,,stop-And-Remain,stop-And-Remain
164022,37.5388613,126.9674317,7.603,12.0,4.0,81.45166666666665,15.22,,stop-And-Remain,stop-And-Remain
164023,37.5388468,126.9674188,7.016,15.0,4.0,81.40583333333333,15.23,,stop-And-Remain,stop-And-Remain
164024,37.5388303,126.9674035,8.662,14.0,4.0,81.36,15.24,,stop-And-Remain,stop-And-Remain
164025,37.5388093,126.9673832,11.214,15.0,3.0,81.31416666666667,15.25,,stop-And-Remain,stop-And-Remain
164026,37.5387837,126.9673552,14.152,15.0,2.0,81.26833333333333,15.26,,stop-And-Remain,stop-And-Remain
164027,37.5387512,126.967319,18.05,16.0,2.0,81.2225,15.27,,stop-And-Remain,stop-And-Remain
164028,37.5387117,126.9672735,22.0,15.0,2.0,81.17666666666666,15.28,,stop-And-Remain,stop-And-Remain
164029,37.5386653,126.9672188,26.129,14.0,2.0,81.13083333333333,15.29,,stop-And-Remain,stop-And-Remain
164030,37.5386157,126.967158,28.192,17.0,1.0,81.085,15.3,,stop-And-Remain,stop-And-Remain
164031,37.5385642,126.9670968,28.364,19.0,1.0,81.03916666666666,15.31,,stop-And-Remain,stop-And-Remain
164032,37.5385148,126.9670382,26.762,18.0,1.0,80.99333333333333,15.32,,stop-And-Remain,stop-And-Remain
164033,37.5384708,126.9669857,23.386,17.0,1.0,80.94749999999999,15.33,,stop-And-Remain,stop-And-Remain
164034,37.5384365,126.9669418,18.054,18.0,1.0,80.90166666666666,15.34,,stop-And-Remain,stop-And-Remain
164035,37.5384112,126.9669093,13.025,17.0,1.0,80.85583333333332,15.35,,stop-And-Remain,stop-And-Remain
164036,37.5383945,126.9668875,8.244,18.0,1.0,80.80999999999999,15.36,,stop-And-Remain,stop-And-Remain
164037,37.538385,126.9668752,4.345,16.0,2.0,80.76416666666665,15.37,,stop-And-Remain,stop-And-Remain
164038,37.5383818,126.9668698,1.181,16.0,2.0,80.71833333333333,15.38,,stop-And-Remain,stop-And-Remain
164039,37.5383795,126.9668653,1.516,17.0,2.0,80.6725,15.39,,stop-And-Remain,stop-And-Remain
