time,lat_deg,lon_deg,speed_kmh,원효대교,숙명여대,travelTime,speed,state,etLtsgStatNm,etStsgStatNm
160923,37.5360618,126.9729362,20.524,0.0,1.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160924,37.5360795,126.9728852,17.258,0.0,0.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160925,37.5360945,126.972841,15.242,1.0,0.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160926,37.5361083,126.9727997,14.339,1.0,0.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160927,37.5361223,126.9727583,14.724,1.0,2.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160928,37.5361377,126.9727137,15.998,0.0,0.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160929,37.5361538,126.9726645,17.464,0.0,1.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160930,37.5361708,126.9726107,18.961,2.0,1.0,,,,protected-clearance,protected-clearance
160931,37.5361895,126.9725535,20.398,3.0,1.0,,,,protected-clearance,protected-clearance
160932,37.536209,126.9724908,21.928,3.0,0.0,,,,protected-clearance,protected-clearance
160933,37.5362303,126.972425,23.137,4.0,0.0,,,,stop-And-Remain,stop-And-Remain
160934,37.5362527,126.9723558,24.156,3.0,1.0,,,,stop-And-Remain,stop-And-Remain
160935,37.5362755,126.9722842,25.232,4.0,1.0,,,,stop-And-Remain,stop-And-Remain
160936,37.5362995,126.9722078,26.737,4.0,0.0,,,,stop-And-Remain,stop-And-Remain
160937,37.5363253,126.972128,27.893,4.0,0.0,,,,stop-And-Remain,stop-And-Remain
160938,37.5363513,126.9720447,28.89,3.0,0.0,,,,stop-And-Remain,stop-And-Remain
160939,37.5363765,126.9719613,28.447,2.0,0.0,,,,stop-And-Remain,stop-And-Remain
160940,37.5364003,126.9718827,26.442,3.0,0.0,,,,stop-And-Remain,stop-And-Remain
160941,37.5364225,126.9718115,23.569,,,,,,stop-And-Remain,stop-And-Remain
160942,37.5364425,126.9717472,21.488,3.0,0.0,,,,stop-And-Remain,stop-And-Remain
160943,37.53646,126.9716902,18.835,3.0,0.0,,,,stop-And-Remain,stop-And-Remain
160944,37.5364753,126.9716417,15.75,3.0,0.0,,,,stop-And-Remain,stop-And-Remain
160945,37.5364878,126.9716028,12.366,4.0,0.0,,,,stop-And-Remain,stop-And-Remain
160946,37.5364963,126.9715737,8.838,2.0,0.0,,,,stop-And-Remain,stop-And-Remain
160947,37.5365023,126.9715545,5.796,2.0,0.0,,,,stop-And-Remain,stop-And-Remain
160948,37.5365072,126.9715393,4.885,1.0,0.0,,,,stop-And-Remain,stop-And-Remain
160949,37.5365118,126.971525,4.878,1.0,0.0,,,,stop-And-Remain,stop-And-Remain
160950,37.5365172,126.9715108,4.842,2.0,0.0,,,,stop-And-Remain,stop-And-Remain
160951,37.5365208,126.971499,3.654,3.0,0.0,,,,stop-And-Remain,stop-And-Remain
160952,37.5365243,126.9714903,2.761,2.0,0.0,,,,stop-And-Remain,stop-And-Remain
160953,37.5365265,126.971486,1.102,3.0,0.0,,,,stop-And-Remain,stop-And-Remain
160954,37.5365273,126.9714848,0.137,3.0,0.0,,,,stop-And-Remain,stop-And-Remain
160955,37.5365278,126.9714845,0.079,3.0,1.0,,,,stop-And-Remain,stop-And-Remain
160956,37.5365278,126.9714842,0.198,4.0,1.0,,,,stop-And-Remain,stop-And-Remain
160957,37.5365278,126.9714837,0.191,6.0,1.0,,,,stop-And-Remain,stop-And-Remain
160958,37.536528,126.9714832,0.058,5.0,2.0,,,,stop-And-Remain,stop-And-Remain
160959,37.5365283,126.9714828,0.09,4.0,2.0,,,,stop-And-Remain,stop-And-Remain
161000,37.5365285,126.9714825,0.04,4.0,0.0,,,,stop-And-Remain,stop-And-Remain
161001,37.5365285,126.9714822,0.119,,,,,,stop-And-Remain,stop-And-Remain
161002,37.5365283,126.9714818,0.079,,,,,,stop-And-Remain,stop-And-Remain
161003,37.5365303,126.9714765,2.362,4.0,1.0,,,,stop-And-Remain,stop-And-Remain
161004,37.5365353,126.9714623,5.702,4.0,1.0,,,,stop-And-Remain,stop-And-Remain
161005,37.5365412,126.971445,6.109,4.0,0.0,,,,stop-And-Remain,stop-And-Remain
161006,37.5365468,126.9714267,6.131,4.0,1.0,,,,stop-And-Remain,stop-And-Remain
161007,37.5365528,126.9714083,6.127,4.0,1.0,,,,stop-And-Remain,stop-And-Remain
161008,37.5365588,126.971391,5.756,4.0,1.0,,,,stop-And-Remain,stop-And-Remain
161009,37.5365642,126.971374,5.609,4.0,0.0,,,,stop-And-Remain,stop-And-Remain
161010,37.536569,126.9713578,5.479,5.0,0.0,,,,stop-And-Remain,stop-And-Remain
161011,37.5365742,126.9713395,6.376,3.0,0.0,,,,stop-And-Remain,stop-And-Remain
161012,37.536581,126.9713178,7.668,4.0,0.0,,,,stop-And-Remain,stop-And-Remain
161013,37.5365887,126.9712918,9.104,4.0,0.0,,,,stop-And-Remain,stop-And-Remain
161014,37.536598,126.9712597,11.455,4.0,0.0,,,,stop-And-Remain,stop-And-Remain
161015,37.5366095,126.9712215,13.482,4.0,1.0,,,,stop-And-Remain,stop-And-Remain
