time,lat_deg,lon_deg,speed_kmh,원효대교,숙명여대,travelTime,speed,state,neLtsgStatNm,neStsgStatNm
165919,37.5400965,126.968767,6.325,13.0,10.0,59.11366666666667,21.18,,protected-Movement-Allowed,protected-Movement-Allowed
165920,37.5401043,126.9687555,7.214,11.0,13.0,59.04333333333334,21.2,,protected-Movement-Allowed,protected-Movement-Allowed
165921,37.5401057,126.968739,7.283,13.0,8.0,58.973,21.22,,protected-Movement-Allowed,protected-Movement-Allowed
165922,37.5400997,126.9687207,7.121,12.0,9.0,58.90266666666667,21.24,,protected-Movement-Allowed,protected-Movement-Allowed
165923,37.5400902,126.9686968,6.606,12.0,12.0,58.83233333333333,21.26,,protected-Movement-Allowed,protected-Movement-Allowed
165924,37.5400747,126.9686855,7.92,12.0,12.0,58.762,21.28,,protected-Movement-Allowed,protected-Movement-Allowed
165925,37.5400553,126.9686742,9.288,11.0,10.0,58.69166666666667,21.3,,protected-Movement-Allowed,protected-Movement-Allowed
165926,37.5400322,126.9686565,12.092,9.0,10.0,58.62133333333333,21.32,,protected-Movement-Allowed,protected-Movement-Allowed
165927,37.5399957,126.9686255,20.369,10.0,11.0,58.551,21.34,,protected-Movement-Allowed,protected-Movement-Allowed
165928,37.5399518,126.9685865,22.14,9.0,9.0,58.48066666666666,21.36,,protected-Movement-Allowed,protected-Movement-Allowed
165929,37.5399052,126.968544,23.422,9.0,12.0,58.41033333333333,21.38,,protected-Movement-Allowed,protected-Movement-Allowed
165930,37.539853,126.968494,27.432,10.0,9.0,58.34,21.4,,protected-Movement-Allowed,protected-Movement-Allowed
165931,37.5397943,126.9684358,31.356,10.0,12.0,58.269666666666666,21.42,,protected-Movement-Allowed,protected-Movement-Allowed
165932,37.5397283,126.9683648,36.392,10.0,12.0,58.199333333333335,21.44,,protected-Movement-Allowed,protected-Movement-Allowed
165933,37.5396528,126.9682822,41.76,9.0,11.0,58.129,21.46,,protected-Movement-Allowed,protected-Movement-Allowed
165934,37.5395695,126.9681878,46.541,10.0,8.0,58.05866666666667,21.48,,protected-Movement-Allowed,protected-Movement-Allowed
165935,37.539479,126.9680828,50.695,10.0,6.0,57.98833333333333,21.5,,protected-clearance,protected-clearance
165936,37.5393842,126.9679712,52.592,9.0,5.0,57.918,21.52,,protected-clearance,protected-clearance
165937,37.5392897,126.9678587,51.959,9.0,6.0,57.84766666666667,21.54,,protected-clearance,protected-clearance
165938,37.5391965,126.9677488,50.854,8.0,5.0,57.77733333333333,21.56,,stop-And-Remain,stop-And-Remain
165939,37.5391085,126.9676443,47.92,6.0,6.0,57.707,21.58,,stop-And-Remain,stop-And-Remain
165940,37.539026,126.9675473,44.392,8.0,5.0,57.63666666666666,21.6,,stop-And-Remain,stop-And-Remain
165941,37.5389502,126.9674602,40.309,,,57.56633333333333,21.62,,stop-And-Remain,stop-And-Remain
165942,37.5388768,126.9673815,38.387,7.0,2.0,57.496,21.64,,stop-And-Remain,stop-And-Remain
165943,37.5388043,126.9673073,37.508,5.0,4.0,57.425666666666665,21.66,,stop-And-Remain,stop-And-Remain
165944,37.5387327,126.9672338,36.644,6.0,4.0,57.35533333333333,21.68,,stop-And-Remain,stop-And-Remain
165945,37.5386643,126.9671605,35.737,2.0,3.0,57.285,21.7,,stop-And-Remain,stop-And-Remain
165946,37.5385998,126.9670865,34.484,2.0,3.0,57.214666666666666,21.72,,stop-And-Remain,stop-And-Remain
165947,37.5385417,126.9670172,31.043,2.0,3.0,57.14433333333333,21.74,,stop-And-Remain,stop-And-Remain
165948,37.5384908,126.9669552,27.083,0.0,1.0,57.074,21.76,,stop-And-Remain,stop-And-Remain
165949,37.538446,126.9669012,23.749,1.0,1.0,57.00366666666667,21.78,,stop-And-Remain,stop-And-Remain
165950,37.5384045,126.9668508,22.554,0.0,1.0,56.93333333333333,21.8,,stop-And-Remain,stop-And-Remain
165951,37.5383658,126.9668033,21.074,1.0,2.0,56.863,21.82,,stop-And-Remain,stop-And-Remain
165952,37.538333,126.966762,17.413,1.0,4.0,56.79266666666666,21.84,,stop-And-Remain,stop-And-Remain
165953,37.5383065,126.96673,13.331,1.0,3.0,56.72233333333333,21.86,,stop-And-Remain,stop-And-Remain
165954,37.5382883,126.9667073,8.806,1.0,3.0,56.652,21.88,,stop-And-Remain,stop-And-Remain
165955,37.5382775,126.9666947,4.673,1.0,5.0,56.58166666666666,21.9,,stop-And-Remain,stop-And-Remain
165956,37.5382717,126.9666867,2.74,2.0,3.0,56.51133333333333,21.92,,stop-And-Remain,stop-And-Remain
165957,37.5382705,126.9666835,0.151,2.0,1.0,56.441,21.94,,stop-And-Remain,stop-And-Remain
165958,37.5382707,126.9666825,0.018,3.0,1.0,56.370666666666665,21.96,,stop-And-Remain,stop-And-Remain
165959,37.5382708,126.9666817,0.032,3.0,1.0,56.30033333333333,21.98,,stop-And-Remain,stop-And-Remain
170000,37.5382712,126.9666808,0.04,3.0,2.0,56.23,22.0,,stop-And-Remain,stop-And-Remain
170001,37.5382717,126.9666803,0.065,3.0,1.0,56.22183333333333,22.00333333333333,,stop-And-Remain,stop-And-Remain
170002,37.5382718,126.9666798,0.032,3.0,1.0,56.21366666666666,22.006666666666668,,stop-And-Remain,stop-And-Remain
170003,37.5382722,126.9666792,0.058,2.0,2.0,56.2055,22.01,,stop-And-Remain,stop-And-Remain
170004,37.5382723,126.9666787,0.061,2.0,1.0,56.19733333333333,22.01333333333333,,stop-And-Remain,stop-And-Remain
170005,37.5382727,126.966678,0.144,2.0,2.0,56.189166666666665,22.016666666666666,,stop-And-Remain,stop-And-Remain
170006,37.5382728,126.9666773,0.022,1.0,1.0,56.181,22.02,,stop-And-Remain,stop-And-Remain
170007,37.5382732,126.9666768,0.032,2.0,2.0,56.17283333333333,22.023333333333333,,stop-And-Remain,stop-And-Remain
170008,37.5382732,126.9666765,0.032,1.0,1.0,56.16466666666666,22.026666666666667,,stop-And-Remain,stop-And-Remain
170009,37.5382733,126.9666758,0.054,1.0,0.0,56.1565,22.03,,stop-And-Remain,stop-And-Remain
170010,37.5382735,126.9666753,0.076,1.0,3.0,56.14833333333333,22.03333333333333,,stop-And-Remain,stop-And-Remain
170011,37.5382737,126.966675,0.05,,,56.140166666666666,22.036666666666665,,stop-And-Remain,stop-And-Remain
170012,37.5382737,126.9666748,0.112,1.0,3.0,56.132,22.04,,stop-And-Remain,stop-And-Remain
170013,37.538274,126.9666745,0.144,1.0,3.0,56.12383333333333,22.043333333333333,,stop-And-Remain,stop-And-Remain
170014,37.5382742,126.9666742,0.104,0.0,3.0,56.11566666666666,22.046666666666667,,stop-And-Remain,stop-And-Remain
