time,lat_deg,lon_deg,speed_kmh,원효대교,숙명여대,travelTime,speed,state,etLtsgStatNm,etStsgStatNm
160002,,,,3.0,20.0,,,,stop-And-Remain,stop-And-Remain
160003,37.5360878,126.9728327,15.437,1.0,19.0,,,,stop-And-Remain,stop-And-Remain
160004,37.5361032,126.9727872,16.016,2.0,21.0,,,,stop-And-Remain,stop-And-Remain
160005,37.5361195,126.97274,17.071,3.0,21.0,,,,stop-And-Remain,stop-And-Remain
160006,37.5361362,126.9726887,18.241,2.0,22.0,,,,stop-And-Remain,stop-And-Remain
160007,37.5361528,126.9726342,19.087,2.0,23.0,,,,stop-And-Remain,stop-And-Remain
160008,37.53617,126.972577,19.757,2.0,22.0,,,,stop-And-Remain,stop-And-Remain
160009,37.5361965,126.9724905,19.7315,1.0,20.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160010,,,,1.0,21.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160011,37.5362227,126.9724063,18.806,1.0,19.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160012,37.5362408,126.9723505,19.292,1.0,21.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160013,37.536259,126.9722918,20.362,,,,,,protected-Movement-Allowed,protected-Movement-Allowed
160014,37.5362787,126.9722302,21.442,0.0,21.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160015,37.5362982,126.9721638,22.705,0.0,18.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160016,37.5363182,126.972095,23.609,1.0,20.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160017,37.5363378,126.9720242,23.522,1.0,19.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160018,37.5363585,126.9719537,23.321,1.0,20.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160019,37.5363808,126.9718873,23.033,1.0,20.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160020,37.536402,126.9718195,23.134,1.0,21.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160021,37.53643,126.9717543,23.566,0.0,18.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160022,37.5364593,126.9716855,24.959,2.0,20.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160023,37.5364888,126.9716097,27.119,1.0,20.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160024,37.5365178,126.9715303,28.058,1.0,23.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160025,37.53655875,126.971396,31.113,1.0,20.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160026,,,,0.0,20.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160027,37.5366017,126.9712553,32.256,1.0,19.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160028,37.5366305,126.9711585,32.18,0.0,20.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160029,37.5366595,126.9710648,31.579,0.0,21.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160030,37.5366873,126.9709727,30.996,1.0,22.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160031,37.536715,126.9708797,31.73,0.0,22.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160032,37.536743,126.9707852,32.245,0.0,22.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160033,37.5367707,126.9706895,32.288,0.0,21.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160034,37.5367997,126.9705942,32.198,0.0,19.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160035,37.5368292,126.9705,32.08,1.0,25.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160036,37.536858,126.970409,31.792,0.0,22.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160037,37.536886,126.9703163,31.63,0.0,20.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160038,37.5369135,126.9702243,31.118,0.0,23.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160039,37.5369413,126.9701317,31.806,0.0,22.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160040,37.5369693,126.9700375,32.051,0.0,23.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160041,37.537006250000005,126.96991545,25.7275,1.0,21.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160042,,,,1.0,23.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160043,37.5370352,126.96982,18.958,0.0,21.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160044,37.5370505,126.9697705,16.254,1.0,25.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160045,37.537062,126.9697337,11.203,2.0,22.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160046,37.53707235,126.96970025,6.32,0.0,20.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160047,,,,1.0,17.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160048,37.5370782,126.9696817,3.136,2.0,16.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160049,37.53708015,126.9696755,0.8280000000000001,2.0,15.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160050,37.5370803,126.9696753,0.029,3.0,14.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
160051,,,,2.0,13.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
