time,lat_deg,lon_deg,speed_kmh,원효대교,숙명여대,travelTime,speed,state,etLtsgStatNm,etStsgStatNm
161848,37.53607,126.9728562,22.169,7.0,3.0,,,,stop-And-Remain,stop-And-Remain
161849,37.5360895,126.9727988,20.117,8.0,2.0,,,,stop-And-Remain,stop-And-Remain
161850,37.536107,126.9727482,17.59,7.0,4.0,,,,stop-And-Remain,stop-And-Remain
161851,37.5361215,126.9727042,14.933,7.0,2.0,,,,stop-And-Remain,stop-And-Remain
161852,37.5361333,126.972668,11.984,5.0,4.0,,,,stop-And-Remain,stop-And-Remain
161853,37.5361443,126.97264,9.778,5.0,3.0,,,,stop-And-Remain,stop-And-Remain
161854,37.536153,126.9726145,8.896,6.0,2.0,,,,stop-And-Remain,stop-And-Remain
161855,37.5361603,126.9725925,7.578,7.0,2.0,,,,stop-And-Remain,stop-And-Remain
161856,37.5361663,126.9725738,6.372,4.0,2.0,,,,stop-And-Remain,stop-And-Remain
161857,37.5361713,126.9725593,4.961,4.0,3.0,,,,stop-And-Remain,stop-And-Remain
161858,37.5361752,126.9725478,3.949,4.0,2.0,,,,stop-And-Remain,stop-And-Remain
161859,37.5361783,126.9725387,3.186,6.0,1.0,,,,stop-And-Remain,stop-And-Remain
161900,37.5361817,126.9725318,2.606,5.0,0.0,,,,stop-And-Remain,stop-And-Remain
161901,37.5361848,126.9725265,2.362,5.0,1.0,,,,stop-And-Remain,stop-And-Remain
161902,37.5361878,126.9725207,2.549,4.0,1.0,,,,stop-And-Remain,stop-And-Remain
161903,37.5361912,126.9725145,2.498,3.0,3.0,,,,stop-And-Remain,stop-And-Remain
161904,37.5361942,126.97251,1.973,4.0,2.0,,,,stop-And-Remain,stop-And-Remain
161905,37.5361965,126.9725095,0.637,3.0,2.0,,,,stop-And-Remain,stop-And-Remain
161906,37.5361982,126.9725122,0.104,2.0,2.0,,,,stop-And-Remain,stop-And-Remain
161907,37.5362005,126.9725148,0.029,4.0,2.0,,,,stop-And-Remain,stop-And-Remain
161908,37.5362022,126.972518,0.083,3.0,1.0,,,,stop-And-Remain,stop-And-Remain
161909,37.5362028,126.9725202,0.166,4.0,3.0,,,,stop-And-Remain,stop-And-Remain
161910,37.5362037,126.9725227,0.122,3.0,3.0,,,,stop-And-Remain,stop-And-Remain
161911,37.5362048,126.9725255,0.047,,,,,,stop-And-Remain,stop-And-Remain
161912,37.5362062,126.9725247,0.965,3.0,3.0,,,,stop-And-Remain,stop-And-Remain
161913,37.5362087,126.9725165,3.503,2.0,2.0,,,,stop-And-Remain,stop-And-Remain
161914,37.5362143,126.9724993,6.876,3.0,2.0,,,,stop-And-Remain,stop-And-Remain
161915,37.5362235,126.9724717,10.458,2.0,2.0,,,,stop-And-Remain,stop-And-Remain
161916,37.5362358,126.972433,14.09,3.0,2.0,,,,stop-And-Remain,stop-And-Remain
161917,37.5362515,126.9723843,17.424,3.0,2.0,,,,stop-And-Remain,stop-And-Remain
161918,37.536269,126.9723278,19.886,4.0,3.0,,,,stop-And-Remain,stop-And-Remain
161919,37.536288,126.9722675,20.869,4.0,3.0,,,,stop-And-Remain,stop-And-Remain
161920,37.5363077,126.9722047,21.406,5.0,2.0,,,,stop-And-Remain,stop-And-Remain
161921,37.5363272,126.9721408,21.74,6.0,3.0,,,,stop-And-Remain,stop-And-Remain
161922,37.5363475,126.9720755,22.23,5.0,3.0,,,,stop-And-Remain,stop-And-Remain
161923,37.5363678,126.9720085,22.687,6.0,5.0,,,,stop-And-Remain,stop-And-Remain
161924,37.5363893,126.9719398,23.278,6.0,4.0,,,,stop-And-Remain,stop-And-Remain
161925,37.5364107,126.9718695,23.602,6.0,4.0,,,,stop-And-Remain,stop-And-Remain
161926,37.5364328,126.971797,24.653,5.0,8.0,,,,stop-And-Remain,stop-And-Remain
161927,37.5364563,126.971721,25.981,7.0,6.0,,,,stop-And-Remain,stop-And-Remain
161928,37.5364743,126.9716375,27.626,7.0,7.0,,,,stop-And-Remain,stop-And-Remain
161929,37.5364978,126.9715553,27.461,7.0,7.0,,,,stop-And-Remain,stop-And-Remain
161930,37.5365238,126.9714705,28.944,8.0,7.0,,,,stop-And-Remain,stop-And-Remain
161931,37.5365513,126.9713822,30.11,7.0,7.0,,,,stop-And-Remain,stop-And-Remain
161932,37.5365795,126.9712903,31.298,8.0,9.0,,,,stop-And-Remain,stop-And-Remain
161933,37.5366083,126.9711957,32.137,8.0,8.0,,,,stop-And-Remain,stop-And-Remain
161934,37.5366377,126.9711003,32.357,9.0,9.0,,,,stop-And-Remain,stop-And-Remain
161935,37.5366675,126.971007,31.673,9.0,9.0,,,,stop-And-Remain,stop-And-Remain
161936,37.5366963,126.970915,31.201,8.0,7.0,,,,stop-And-Remain,stop-And-Remain
161937,37.5367248,126.970824,31.003,9.0,7.0,,,,stop-And-Remain,stop-And-Remain
161938,37.5367525,126.970733,30.881,10.0,11.0,,,,stop-And-Remain,stop-And-Remain
161939,37.5367805,126.9706428,30.748,10.0,8.0,,,,stop-And-Remain,stop-And-Remain
161940,37.5368088,126.9705532,30.557,12.0,6.0,,,,stop-And-Remain,stop-And-Remain
161941,37.5368372,126.970464,30.456,10.0,10.0,,,,stop-And-Remain,stop-And-Remain
161942,37.5368653,126.9703748,30.51,9.0,9.0,,,,stop-And-Remain,stop-And-Remain
161943,37.5368937,126.9702848,30.895,10.0,8.0,,,,stop-And-Remain,stop-And-Remain
161944,37.5369223,126.9701918,31.943,11.0,10.0,,,,stop-And-Remain,stop-And-Remain
161945,37.536951,126.9700965,32.533,12.0,6.0,,,,stop-And-Remain,stop-And-Remain
161946,37.5369785,126.9700038,31.09,14.0,4.0,,,,stop-And-Remain,stop-And-Remain
161947,37.5370057,126.9699132,30.704,15.0,5.0,,,,stop-And-Remain,stop-And-Remain
161948,37.5370312,126.9698297,27.788,15.0,3.0,,,,stop-And-Remain,stop-And-Remain
161949,37.5370537,126.969756,24.397,15.0,7.0,,,,stop-And-Remain,stop-And-Remain
161950,37.5370763,126.9696835,24.959,14.0,8.0,,,,stop-And-Remain,stop-And-Remain
161951,37.5370998,126.9696093,25.56,16.0,5.0,,,,stop-And-Remain,stop-And-Remain
161952,37.5371202,126.969545,21.204,18.0,5.0,,,,stop-And-Remain,stop-And-Remain
161953,37.5371353,126.9694955,15.768,16.0,6.0,,,,stop-And-Remain,stop-And-Remain
161954,37.5371487,126.9694538,13.936,12.0,7.0,,,,stop-And-Remain,stop-And-Remain
161955,37.5371612,126.9694105,14.785,14.0,7.0,,,,stop-And-Remain,stop-And-Remain
161956,37.5371748,126.9693655,15.394,16.0,4.0,,,,stop-And-Remain,stop-And-Remain
161957,37.5371875,126.9693227,14.299,15.0,3.0,,,,stop-And-Remain,stop-And-Remain
161958,37.5371975,126.9692887,10.937,11.0,4.0,,,,stop-And-Remain,stop-And-Remain
161959,37.5372038,126.9692687,5.944,16.0,1.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162000,37.5372075,126.969258,3.226,15.0,4.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162001,37.5372103,126.9692503,2.48,,,,,,protected-Movement-Allowed,protected-Movement-Allowed
162002,37.5372115,126.9692468,0.889,13.0,3.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162003,37.5372115,126.969246,0.097,16.0,2.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162004,37.5372115,126.969246,0.079,10.0,2.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162005,37.5372112,126.9692457,0.043,14.0,4.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162006,37.537211,126.9692453,0.076,13.0,4.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162007,37.5372105,126.969245,0.13,13.0,0.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162008,37.53721,126.9692447,0.108,12.0,1.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162009,37.5372097,126.9692443,0.061,11.0,1.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162010,37.537209,126.9692437,0.079,9.0,1.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162011,37.5372085,126.969243,0.04,7.0,1.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162012,37.5372082,126.9692425,0.058,9.0,1.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162013,37.5372075,126.969242,0.05,8.0,1.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
162014,37.537207,126.9692415,0.097,9.0,1.0,,,,protected-Movement-Allowed,protected-Movement-Allowed
